实体,出现次数
dummy implementation,1
serdes Rx statistics,1
Qdisc ETS,1
port priority,1
VXLAN over VLAN topologies,1
max number of channels,1
prios,1
priors,1
number of chains,1
number of prios,1
multi destination steering,1
multi destination,1
RoCE accelerator,1
RoCE accelerator counters,1
VIRTIO_NET,1
VIRTIO_NET Emulation Offload,1
Copper SFP+ modules,1
Copper SFP+,1
location range request,1
sriov support,1
dropped packet counter,1
legacy power management,1
Timestamping/PTP,1
PHY power management,1
PHY power management control,1
unicast MAC,1
MAC(s),1
MACs,1
filtering hardware tables,1
RSS rules,1
E822 devices,1
time specific departure,1
departure,1
qos etf,1
family members,1
6390 family,1
6390 family members,1
PCS operations,1
531x5,1
539x,1
531x5/539x,1
531x5 families,1
539x families,1
TAG format,1
Atheros AR9331,1
built-in switch,1
dpaa2-ptp,1
external trigger event,1
trigger event,1
high priority filters,1
BCM4359,1
BCM4359 SDIO chipset,1
UDP RSS,1
UDP RSS hashing,1
575XX chips,1
link up detection,1
progress,1
software counters,1
reallocations,1
wow feature,1
sdio chip,1
netdetect,1
ar5523,1
SMCWUSBT-G2,1
wireless adapter,1
extended atomic,1
pf capabilities,1
ctxt0,1
seq drop,1
RcvShortLengthErrCnt,1
hfi1stats,1
power off/on,1
off/on,1
hci down/up,1
down/up,1
QCA Rome,1
Rome,1
hci down,1
hci up,1
hci_h4,1
BCM43438,1
04ca:3021,1
BCM4354,1
BCM4354 support,1
isdn capi,1
isdn capi drivers,1
vsoc driver,1
MERCUSYS,1
MW150US,1
MERCUSYS MW150US,1
MW150US v2,1
MERCUSYS MW150US v2,1
Rockchip ISP,1
Rockchip ISP Driver,1
color conversion,1
sm1 platform,1
g12a platform,1
pata_pcmia,1
SanDisk,1
CF card,1
esp_scsi,1
FSC chip,1
phase14,1
vendor implementations,1
Comet Lake platform,1
Tiger Lake ACPI device IDs,1
ACPI device ID,1
busmastering,1
PCI busmastering,1
job distribution,1
offset 0,1
VRAM MM,1
anx6345,1
Analogix anx6345,1
aspect ratios,1
ratios,1
HDMI 4K,1
HDMI 4K modes,1
CTA-861-G,1
CTA-861,1
supported format list,1
tfp410,1
tilcdc tfp410 driver,1
color-transform,1
DOU-IPS,1
error verbosity,1
D32 support,1
pageflip support,1
OSD1,1
mcde vblank,1
vblank support,1
mcde vblank support,1
Atomic modeset,1
modeset support,1
Color management module,1
gamma property,1
ctm property,1
CMDQ interface,1
ddp component,1
firmware-name,1
zap fw,1
RGB8888,1
RGB8888 formats,1
msm a618,1
UBWC support,1
SC7180 display,1
virtio-gpu fb,1
fb damage,1
virtio-gpu fb damage,1
rockchip dsi,1
rockchip px30,1
dsi/px30,1
rockchip dsi/px30,1
TU10x,1
graphics engine,1
TU11x,1
Boe Himax8279d,1
Himax8279d,1
Satoz,1
SAT050AT40H12R2,1
Satoz SAT050AT40H12R2,1
BOE NV140FHM-N49,1
NV140FHM-N49,1
AUO B116XAK01,1
B116XAK01,1
xinpeng,1
XPP055C272,1
LTK500HD1829,1
Leadtek LTK500HD1829,1
ACX424AKP,1
Sony ACX424AKP,1
Sony ACX424AKP panel,1
panel ingenic,1
type 28,1
EHL/JSL PCI ids,1
10bpc formats,1
alpha formats,1
TGL PCH,1
TGL PCH ID,1
second TGL PCH ID,1
LMEM mmap,1
dumb buffers,1
discontiguous object maps,1
object maps,1
Intel LMEM debugfs,1
RAS feature,1
custom power profile,1
amdgpu DCN,1
raven1,1
HDCP 2.x,1
OEM i2c,1
amdgpu DC OEM i2c,1
DMCUB,1
display microengine,1
microengine,1
MST DSC,1
sync object timelines,1
card0-HDMI-A-1,1
card0,1
i2c-2,1
ddcutil,1
panel_orientation,1
left_side_up,1
right_side_up,1
fpu state,1
folded p4d page tables,1
folded,1
CMA allocator,1
Microblaze v11,1
Sram,1
Sram support,1
Page directory,1
IODA,1
IODA PE,1
PHB's IODA PE state,1
vdso32,1
MAC2008,1
ATIL,1
CU Neo,1
YSH & ATIL CU Neo board,1
QEMU virt machine,1
BPF JIT optimizations,1
reset vcpu API,1
key blob,1
clear key value,1
secure keys,1
hardware compression,1
in-kernel irqchip mode,1
C-states,1
C-states information,1
intel_idle driver,1
core-power discovery,1
core-power,1
Ice Lake server,1
Elkhart,1
Elkhart Lake support,1
perf cstate,1
Tremont support,1
fixed Instructions Retired counter,1
Instructions Retired counter,1
Large Increment per Cycle Events,1
Large Increment,1
Cycle Events,1
Increment,1
TigerLake Mobile,1
Elkhart Lake CPU,1
intel_th: pci,1
Fast Short Rep Mov,1
resctrl information,1
information display,1
MPX support,1
PiPO W11,1
PiPO,1
PiPO W11 tablet,1
system classes,1
asus_wmi,1
throttle thermal policy,1
left round button,1
N56VB,1
FX705DY,1
FX505DY,1
ASUS TUF FX705DY,1
ASUS TUF FX505DY,1
Intel Uncore frequency control,1
Uncore frequency control,1
uncore frequency limits,1
uncore frequency,1
last-level cache,1
last-level,1
AMD-TEE driver,1
AMD-TEE,1
TEE environment,1
Platform Security Processor,1
ARM TrustZone technology,1
Trusted Applications,1
third-party Trusted Applications,1
checksum routine,1
crash dump kernels,1
Data Gathering Hint Matrix Multiply,1
Data Gathering,1
Hint Matrix Multiply,1
Gathering,1
Multiply,1
16-bit floating point,1
Data Gathering Hint,1
Matrix Multiply,1
RNG instructions,1
KASLR seed,1
E0PD,1
spinning loop,1
Thor96 board,1
Thor96,1
96Boards Consumer Edition,1
Consumer Edition,1
NXP i.MX8MQ SoC,1
EK874 board,1
idk-2121wr,1
idk-2121wr display,1
tv box,1
gxbb-p201,1
p201,1
SAMA5D27-WLSOM1-EK,1
SAMA5D27,1
WireLess SoM,1
WireLess,1
SAMA5D27 LPDDR2 2Gbits SiP,1
LPDDR2,1
2Gbits,1
Inforce 6640,1
Single Board Computer,1
OMAP Gen1,1
Gen1,1
Amazon Echo,1
Echo,1
TI OMAP Gen1,1
HREF520,1
DB8520,1
Samsung Galaxy S III mini,1
Galaxy S III mini,1
GT-I8190,1
ST Reference boards,1
Rockchip VMARC RK3399Pro SOM,1
Rock Pi N10,1
Radxa Rock Pi N10,1
Dalang Carrier,1
SOMs,1
Google Coral,1
NXP SolidRun Clearfog CX/ITX,1
CX/ITX,1
HoneyComb,1
LX2160A-based systems,1
Embedded Artists,1
NXP Embedded Artists COM,1
NXP Embedded Artists COM i.MX7ULP,1
NXP Tolino Shine 3,1
Shine 3,1
eBook reader,1
eBook,1
i.MX6sl,1
Tolino Shine 3,1
NXP Gateworks GW59xx boards,1
GW59xx,1
i.MX6Q,1
i.MX6QDL,1
Marvell Armada 385,1
Armada 385,1
SolidRun Clearfog GTR,1
Clearfog GTR,1
Kizboxmini,1
Wireless SOM,1
wlsom1,1
Amlogic GX PC,1
GX PC,1
s905d,1
s912,1
s905d-based variants,1
s912-based variants,1
PineH64,1
Model B,1
Allwinner PineH64,1
Allwinner PineH64 Model B,1
H3 variant,1
8-core,1
CPU class,1
Unisoc SC9863A SoC,1
mobile chipset,1
ab8505,1
db8520,1
OMAP 37xx,1
AM3703,1
AM3715,1
DM3725,1
media IP,1
ARM926,1
ARM926 SoC,1
local transport support,1
local transport,1
vsock_loopback,1
local communication,1
vsock core,1
variable window congestion control,1
variable window,1
pptp,1
layer 2 tunnelling,1
multi host,1
mellanox card,1
IEEE 1588,1
one-step time stamping,1
hardware device,1
raciness,1
ethtool utility,1
vlan notifications,1
rtm support,1
per-vlan options,1
requirement,1
per-vlan state,1
TCP encapsulation,1
RFC 8229,1
kernel capability flags,1
ldpm,1
edpm,1
current FW,1
async event file,1
device context,1
ioctl command,1
Increment management interface,1
blocked keys,1
LE PHY Update Complete event,1
Update Complete,1
Bluetooth 5.2,1
strict classes,1
strict queues,1
ETS ones,1
Flow Queue Proportional Integral controller Enhanced,1
Flow Queue,1
Proportional Integral controller,1
active queue Management algorithm,1
active queue,1
Management algorithm,1
PIE algorithm,1
PIE aqm,1
deficit round robin scheme,1
deficit round robin,1
Flow Queue Proportional Integral controller,1
ERSPAN_VERSION,1
OPTS_ERSPAN,1
OPTS,1
slave device matching,1
shifts,1
nft_bitwise,1
bit shifts,1
arbitrary concatenation,1
L3 domains,1
MD5 auth,1
MD5 keys,1
proper VRF support,1
TCP ssthresh metrics cache,1
metrics cache,1
TCP metrics cache,1
TCP ssthresh,1
flow-label,1
network path,1
TCP reliability,1
OPT_STATS counter,1
OPT_STATS,1
host-level statistics,1
host-level,1
connection-level statistics,1
connection-level,1
network administrators,1
Multi Path TCP protocol,1
MPTCP connection establishment,1
connection establishment,1
MPTCP options,1
MPTCP per-namespace,1
self tests,1
MPTCP peer,1
MPTCP subflows,1
Future versions,1
MPTCP connection,1
InitiaL MPTCP support,1
scm files,1
/proc/self/fdinfo/,1
offload indication,1
mlxsw driver,1
identical routes,1
GRO/GSO,1
big packet,1
native form,1
WireGuard,1
secure network tunnel,1
network tunnel,1
major version,1
sidtab,1
reverse lookup,1
sidtab entry,1
compile-time configurable,1
context strings,1
recently used context strings,1
Allow per-file labelling,1
per-file labelling,1
labelling,1
SELinux hook,1
lockdown module,1
denial,1
lockdown decisions,1
attestation service,1
trusted keys keyrings,1
KEY_CHECK,1
KEY_CHECK function,1
key measurement,1
IMA policy function,1
getentropy,1
cryptographical guarantees,1
blocking pool,1
Linux CRNG,1
key generation,1
Linux's blocking pool,1
OPTIONAL_KEY,1
generic versions,1
cpu idle cooling driver,1
idle cycles,1
intel power clamp driver,1
power clamp,1
cpu_cooling device,1
cpu_cooling,1
cpufreq_cooling device,1
fan performance state,1
performance state,1
sync on suspend,1
suspend behavior,1
Xen-netback,1
in-kernel dynamic event API,1
Boot-time tracing,1
event filters,1
trigger actions,1
supplemental kernel cmdline,1
runqslower,1
tools/bpf,1
menu entry,1
callchain expansion,1
kernel map,1
user-space strings,1
flexible array accesses,1
relocatable manner,1
manner,1
BPF resource,1
underlying BPF resource,1
libbpf-provided extern variables,1
extern variables,1
code generation,1
BPF object file,1
boilerplate code,1
userspace boilerplate code,1
btf_vmlinux_value_type_id,1
BPF feature probe,1
feature probe,1
program size,1
BPF feature,1
maximum program size,1
service interruption,1
order of programs,1
function by function verification,1
static functions,1
navss,1
navss ringacc,1
navss ringacc driver,1
tegra: fuse,1
mt8183 SCP,1
rpmsg support,1
system reset controller,1
system reset controller driver,1
RESCAL,1
Broadcom STB RESCAL,1
Broadcom STB RESCAL reset controller,1
STB RESCAL reset controller,1
SM8150 ADSP,1
SM8150 CDSP,1
SM8150 Modem,1
SM8150 SLPI,1
ADSP Modem,1
ADSP SLPI,1
CDSP Modem,1
CDSP SLPI,1
Modem SLPI,1
MSM8998 ADSP,1
MSM8998 SLPI,1
ADSP support,1
q6v5-mss,1
write-protect pin,1
SDAM,1
QTI SDAM,1
alcor_pci,1
AU6625,1
PCI_IDs,1
EMC debugfs interface,1
Tegra194 memory controller,1
dead code removal,1
INTMUX,1
interrupt multiplexer,1
Aspeed SCU,1
meson a1,1
irqchip/gic-v4.1,1
gic-v4.1,1
VMAPP,1
Substream IDs,1
Substream,1
interconnect_graph,1
legacy conventions,1
Intercomm Notify,1
Intercomm,1
Upstream Error Containment,1
system info register,1
system info,1
info register,1
USB low power mode,1
7211 S2,1
7211 S5,1
7211b0,1
Synopsys USB controller,1
WIZ module,1
TI J721E SoC,1
intel-lgm-emmc,1
SERDES_16G,1
consumer device link,1
max divider,1
timer-microchip-pit64b,1
PIT64B,1
Microchip PIT64B,1
PIT64B support,1
DDR clock,1
DDR clock controller,1
Display output interface,1
Display output,1
fsl-sai,1
clk_rate,1
USB 4,1
public specification,1
Thunderbolt 3 protocol,1
VMD Device IDs,1
flash information,1
information interface,1
flash information interface,1
Gen4 flash information interface,1
SDM845 PCIe controller,1
PCIe RC controller,1
PCIe RC controller driver,1
intel PCIe RC controller driver,1
SkyLake-E,1
Intel SkyLake-E,1
A33 variant,1
AES256,1
Texas Instruments UDMA,1
cyclic requests,1
dedicated DMA,1
PLX Switch DMA Engine Driver,1
PLX Switch,1
Switch DMA,1
DMA Engine Driver,1
idxd driver,1
Intel Data Streaming Accelerator,1
Data Streaming Accelerator,1
Data Streaming,1
calgary IOMMU driver,1
calgary,1
x86_64 SIMD,1
InvariantTSC,1
L2 TSC,1
highest observable L2 TSC,1
highest observable,1
nested support,1
load IA32_PERF_GLOBAL_CTRL,1
IA32_PERF_GLOBAL_CTRL,1
VM-EntryExit control,1
VM-EntryExit,1
VM-{EntryExit},1
intel_th Tiger Lake CPU,1
Ice Lake CPU,1
intel_th Ice Lake CPU,1
Elkhart Lake SOC,1
Comet Lake PCH-V,1
Xeon E3 V5 Family,1
Cascade Lake-X,1
Cascade,1
v1.05,1
TMAM 3.6,1
Intel JSON metrics,1
Comet Lake (CML),1
keyboard backlight LED,1
backlight LED,1
test_event,1
USB PowerShare Policy,1
PowerShare,1
ezpad 6 m4,1
ezpad,1
ezpad 6,1
ezpad 6 m4 tablet,1
Huawei driver,1
laptop models,1
Acer Aspire 7551,1
bootctl driver,1
bootctl,1
Mellanox BlueField Soc,1
UV HUB,1
System76 ACPI,1
System76 ACPI driver,1
late loading method,1
loading method,1
Intel-compatible CPUs,1
CFL/ICL,1
RDPRU instruction,1
RDPRU,1
processor registers,1
privilege level,1
AUX data sampling,1
Speed Select,1
limited Intel Speed Select,1
command set,1
perf-profile,1
Auto mode,1
Cascade Lake-N,1
Cascade Lake,1
kernel entropy pool,1
entropy pool,1
IO privilege,1
iopl system call,1
IO permission bitmap,1
permission bitmap,1
POPF,1
PUSHF,1
interrupt flag,1
setup_header,1
DDRC PMU,1
DDRC,1
HHA PMU,1
L3C PMU,1
gcm-ce,1
4 way interleave,1
4 way,1
AT instruction,1
guest page tables,1
Neoverse-N1,1
stale instructions,1
crypto poly1305,1
crypto curve25519,1
Curve25519,1
crypto chacha,1
scalar accelerated ChaCha code,1
halt poll counters,1
poll counters,1
user injection,1
external data aborts,1
AXI ID filter,1
arm-ccn,1
CCN-512,1
CCPI2,1
CCPI2 PMU,1
UNCORE driver,1
view comparator,1
single-shot control API,1
debug architecture,1
generic vDSO,1
CN913x SoC,1
mmp3,1
Wyse 3020,1
Tacoma machine,1
Tacoma,1
Rainier system,1
NetCom Plus 1xx,1
NetCom Plus 2xx,1
NetCom Plus 4xx,1
NetCom Plus 8xx,1
device series,1
NetCom Plus 1xx device series,1
NetCom Plus 2xx device series,1
NetCom Plus 4xx device series,1
NetCom Plus 8xx device series,1
NetCAN Plus,1
NetCAN,1
Droid Bionic xt875,1
xt875,1
Droid Bionic,1
Renesas R8A77961,1
Renesas R8A77961 SoC,1
sub board,1
sub board support,1
Marvell CN9132-DB,1
CN9132-DB,1
CN9132,1
Marvell CN9130-DB,1
CN9130-DB,1
CN9130,1
Marvell CN9130,1
Marvell CN9131-DB,1
CN9131-DB,1
CN9131,1
main board,1
main board support,1
r8a774b1 SoC,1
SoC device tree,1
r8a774b1 SoC device tree,1
Beelink A1,1
rk3308 eval boards,1
rk3308 eval,1
eval boards,1
rk3399-roc-pc,1
roc-pc,1
LPDDR4,1
E60K02,1
Clara HD,1
N6311,1
N6411,1
OPOS6ULDev,1
Clara,1
Espressobin flavor,1
Pi 4,1
Luxul XWC-2000,1
XWC-2000,1
Overkiz,1
Kizbox2,1
Kizbox3,1
Overkiz Kizbox2,1
Overkiz Kizbox3,1
Kizbox,1
Ugoos am6,1
Ugoos,1
Amlogic W400,1
W400,1
S922X chipset,1
FriendlyARM NanoPi Duo2,1
NanoPi Duo2,1
512 MB RAM,1
USB OTG port,1
MicroSD slot,1
MicroSD,1
onboard AP6212A wifi/bluetooth module,1
AP6212A,1
CSI connector,1
Duo2,1
Rockchip RK3308,1
RTD1293,1
RTD1296,1
Realtek RTD1293,1
Realtek RTD1296,1
RTD1293 and RTD1296,1
SoC descriptions,1
CP115,1
Freescale S32V234,1
Amlogic Meson A1,1
Amlogic Meson G12,1
Broadcom BCM2711,1
XSKMAP,1
multi-transports support,1
multi-transports,1
nested VMs,1
guest->host,1
host->guest,1
vmci-transport,1
VMware hypervisor,1
TCP Offload Engine,1
TLS TCP Offload Engine,1
TLS offload,1
MIB stats,1
basic MIB stats,1
name publication events,1
publication,1
smart nagle,1
nagle,1
TIPC encryption,1
termination handling,1
RFC 5061,1
RFC 7829,1
sch_generic,1
pfifo_fast,1
fallback scheduler,1
CAN hardware,1
packet scheduler pie,1
timestamp-based delay calculation,1
delay calculation,1
flow looking up,1
openvswitch flow,1
looking up,1
asymmetric conntrack,1
C-VLAN,1
C-VLAN matching,1
VLAN matching,1
netfilter Offload,1
input interface,1
netdev family,1
hooking,1
basechains,1
flowtable infrastructure,1
fast datapath,1
Linux forwarding path,1
hash:netiface,1
netiface,1
interface prefixes,1
complete interfaces names,1
complete interfaces,1
interfaces names,1
POSTROUTING,1
packet counts,1
set_key,1
set_sta_vlan,1
HW conf flags,1
Airtime Queue Limits,1
CoDel,1
options setting,1
arp request,1
cmp_encap,1
options process,1
bools,1
devlink health reporter interface,1
health reporter interface,1
node GUIDs,1
fast GRO,1
Ethernet header,1
Symmetric ICMP transmit,1
echoes,1
layer3+4 mode,1
layer3,1
layer4,1
layer3+4,1
RX batch packet processing,1
ingress packet,1
custom rules,1
per packet route lookup,1
latest successful lookup,1
successful lookup,1
failed client TFO,1
failed client,1
alternative names,1
name size limitations,1
name size,1
multiple names,1
udev patterns,1
copy_to_user(),1
copy_from_user(),1
INT_MAX,1
raw policy blob compression,1
raw policy blob,1
raw policy,1
policy developer,1
glblub,1
default_range,1
computed transition,1
computed,1
mls range,1
ablkcipher support,1
chacha20poly1305,1
blake2b generic implementation,1
PCI hibernation,1
PCI hibernation support,1
VMBus version,1
VMBus protocol,1
VMBus protocol versions,1
testing tool,1
vmbus testing tool,1
preempt/irqsoff tracers,1
fs notification,1
tracing_max_latency,1
preemptirq_delay_test,1
preemptirq,1
delay test,1
closely occurring latencies,1
trace event injection,1
test applications,1
PERMANENT ftrace_ops flag,1
PERMANENT,1
ftrace_ops flag,1
ftrace_enabled,1
PERMANENT ftrace_ops,1
perf_event_open,1
perf_event_alloc,1
perf_event_free,1
perf_event_read,1
perf_event_write,1
security permissions,1
perf_event_{openallocfreereadwrite},1
errnos,1
syscall failure stats,1
ltcmalloc,1
AUX area sampling,1
aggregate stats,1
Time chart,1
chart,1
time span,1
interest,1
Sampled Cycles%,1
Sampled,1
Cycles,1
perf output file size,1
perf.data directory,1
multiprobe events,1
multiprobe,1
shared umems,1
Rx|Tx-only sockets,1
BTF-based map definitions,1
map definitions,1
open option,1
pinning path,1
/sys/fs/bpf,1
automatic reuse feature,1
reuse feature,1
customise,1
expected attach type,1
section names,1
bpf_prog_load,1
CO-RE relocation support,1
relocation support,1
field's byte offset relocation,1
byte offset relocation,1
byte offset,1
field existence relocations,1
field existence,1
Bitfield,1
size relocations,1
non-ABI-breaking,1
API changes,1
future-proof,1
bpf_helpers.h,1
bpf_helpers,1
bpf_endian.h,1
bpf_endian,1
user BPF programs,1
global BPF flow dissector,1
direct jumps,1
BPF tail calls,1
memory-mapping,1
BPF array maps,1
BPF array,1
BPF trampoline,1
BPF C programming,1
Compile Once Run Everywhere,1
program verification,1
in-kernel BTF,1
type check,1
bpf assembly code,1
bpf tracing,1
safer,1
xen-blkback,1
write failure mode,1
failure mode,1
opal,1
Read/Write Opal Tables,1
Read/Write,1
Opal Tables,1
Tables,1
Generic Read/Write,1
zone report,1
Zone management,1
iostat counters,1
flush requests,1
EFAULT,1
inconsistencies,1
unmapped holes,1
inter-page compaction,1
reserved_highatomic,1
highatomic,1
memory hot-plug,1
page table access code,1
access code,1
4-level pages,1
5-level pages,1
vma tree,1
write I/O,1
heavy write I/O,1
page aging,1
multiple cgroups,1
HUGETBLFS,1
Client support,1
cross-device offloaded copy,1
offloaded copy,1
aligned pinned file,1
2MB segment,1
fully valid,1
Query attributes,1
file close,1
Multichannel support,1
Multichannel,1
SMB session,1
SMB rootfs,1
rootfs support,1
CIFS SMB rootfs,1
caps file,1
debugfs caps file,1
mount-api,1
biosize,1
near mode,1
long tail latency,1
long tail,1
near mode extent allocation,1
checksum driver,1
used checksum driver,1
per filesystem,1
supported checksums,1
cyclic writebacks,1
inode items,1
xxhash64,1
checksumming algorithms,1
checksumming algorithm,1
BLAKE2,1
BLAKE2 checksumming,1
Btrfs send,1
clone operations,1
parallel fseek,1
fseek,1
3-copies,1
4-copies,1
fs-verity bit,1
verity bit,1
verity file,1
inline encryption support,1
fscrypt policy flag,1
policy flag,1
UFS v2.1 standard,1
eMMC standard,1
per-mode keys,1
per-file keys,1
UFS v2.1,1
xfs common tracing code,1
common tracing code,1
tracing code,1
symbolic error names,1
error names,1
make helpnewconfig,1
helpnewconfig,1
listnewconfig,1
new options,1
dir-pkg target,1
dir-pkg,1
directory structures,1
system state changes,1
newly installed livepatches,1
system state modifications,1
already installed livepatches,1
single thread migration,1
threadgroup rwsem,1
threadgroup,1
unit testing framework,1
unit testing,1
full reference count validation,1
common refcount operations,1
arch-specific implementations,1
refcount operations,1
descendant pid namespaces,1
seccomp(2) notifier,1
seccomp(2),1
PELT metrics,1
load-balancing algorithm,1
mapping support,1
io_uring workqueues,1
networked applications,1
absolute timeouts,1
linked timeouts,1
X amount of time,1
timeout requests,1
async offload,1
async context,1
read/write requests,1
socket based IO,1
accept4,1
cancel requests,1
submits,1
completion events,1
sparse file sets,1
file sets,1
file set,1
trought,1
accept(4),1
target pid namespaces,1
thread's signal handler,1
thread's,1
feature request,1
mutually exclusive,1
DS2430,1
DS2430 chip,1
PRM driver,1
Adaptive Supply Voltage,1
sda845,1
Serial Number,1
Atmel SFR SN,1
Serial Number support,1
wake events,1
Tegra SoCs,1
deep sleep control settings,1
control settings,1
core power request polarity,1
nvmem device,1
ResourceSource,1
ResourceSource field,1
Pro5 USB3,1
meson-audio-arb,1
sm1 support,1
Meson-A1 SoC Reset Controller,1
IDT ClockMatrix,1
ClockMatrix,1
Cometlake desktop,1
CometLake Mobile,1
autopoll,1
autopoll capability,1
mmap/unmap,1
Tegra30 EMC,1
Tegra30 EMC driver,1
of_memory,1
LPDDR3,1
LPDDR3 support,1
DMC driver,1
Exynos5422,1
comet point V,1
client attributes,1
trc detection register,1
imx v1 mu,1
imx v1,1
external interrupt lines,1
interrupt lines,1
guest PASID bind function,1
bind function,1
I/O ASID,1
I/O ASID allocator,1
custom allocators,1
card name,1
H/W queue,1
queue type,1
thermal management support,1
versal soc,1
qcm_scm-32,1
secure config,1
OCMEM lock,1
OCMEM unlock,1
OCMEM lock/unlock,1
BNXT,1
f/w manager,1
eQEP,1
TI eQEP,1
TI eQEP driver,1
vbus override,1
fake support,1
SM8150 QMP UFS PHY,1
MIPI/LVDS/TTL PHY,1
clock implementation,1
Q6SSTOP,1
Q6SSTOP clock controller,1
axg_audio,1
common clock driver,1
common clock,1
fsi-master,1
fsi-master class,1
software connection manager,1
firmware connection manager,1
lane bonding support,1
display Port handshake,1
display Port,1
Titan Ridge devices,1
Titan,1
display Port pairing,1
pairing,1
display Port bandwidth management,1
bandwidth management,1
Hygon Device ID,1
VMD device,1
8086:9A0B,1
rpaphp,1
drc-info,1
hotplug slot,1
DPC without AER control,1
ASPM link states,1
link states,1
PoisonTLPBlocked,1
Uncorrectable error counters,1
vfs_num,1
sge number,1
hardware sgl resources,1
HiSilicon SEC,1
HiSilicon SEC V2,1
SEC V2,1
high performance RSA engine,1
RSA engine,1
HPRE,1
command privilege separation,1
amlogic GXL,1
eip197f_iewc,1
eip197f,1
iewc,1
internal buswidth,1
buswidth,1
ring interrupt controllers,1
EIP196,1
SHA3 support,1
rfc4543(gcm(aes)),1
rfc4543,1
rfc4309(ccm(aes)),1
rfc4309,1
ccm(aes),1
IPsec ESP,1
(3)DES,1
ecb(sm4),1
cbc(sm4),1
ofb(sm4),1
cfb(sm4),1
rfc3686(ctr(sm4)),1
rfc3686,1
ctr(sm4),1
skcipher algorithms,1
hmac(sm3),1
Chacha20-Poly1305,1
Chacha20 skcipher,1
Chacha20-Poly1305 AEAD,1
Chacha20-Poly1305 AEAD suites,1
AEAD suites,1
NPCM RNG,1
xilinx_dma,1
MCDMA,1
AXI MCDMA,1
Xilinx AXI MCDMA Engine,1
Xilinx AXI MCDMA Engine driver,1
milbeaut-xdmac,1
xdmac,1
XDMAC,1
milbeaut-hdmac,1
hdmac,1
HDMAC,1
DPDMAI,1
Data Path DMA Interface,1
DPDMAI support,1
dpaa2 qDMA controller,1
EL15203000,1
EL15203000 board,1
xgs-iproc driver,1
xgs-iproc,1
debounce support,1
PFE1100,1
PFE3000,1
BEL PFE1100,1
BEL PFE3000,1
summation feature,1
automatic BIOS fan control,1
ltc2947,1
TMP512,1
TMP513,1
analog filtering,1
advanced digital filtering,1
PM/PMI8950,1
supply clocks,1
db8500-prcmu,1
prcmu,1
U8420,1
LTC2983,1
veml6030,1
ADUX1020,1
ADUX1020 sensor,1
LSM6DSRX,1
LSM6DS0,1
odr calibration,1
vdd-supply,1
vdd-supply regulator,1
magnetometer data,1
MPU925x,1
MPU925x magnetometer,1
FXOS8700,1
FXOS8700 IMU,1
AD5600,1
cros-ec-sensorhub,1
sensorhub,1
max1027,1
12-bit devices,1
intel_mrfld_adc,1
Basin Cove ADC,1
GPADC,1
AB8500 GPADC,1
AD7292,1
JZ4770 SoC ADC,1
SPI flash,1
Intel Cannon Lake SPI flash,1
en25qh16,1
w25q256jw,1
w25q256,1
is25wp256,1
Cadence NAND,1
MTD subsystem,1
flash-dma,1
Command Queuing Engine,1
Intel JSL,1
Platform Tap Delays Setup,1
Platform Tap Delays,1
SDXC,1
Intel LGM SDXC,1
sdhci-milbeaut,1
Low Power Mode,1
Low Power Mode (LPM),1
8bit mode,1
Actions Semi Owl SoCs,1
Owl SoCs,1
SD/MMC driver,1
R8A77961 PFC,1
R8A774B1 PFC,1
rk3308 SoC,1
Intel Tiger Lake pin controller,1
Intel Lightning Mountain,1
Intel Lightning Mountain SoC,1
PM8004,1
PM8004 regulators,1
PM8950 SPMI regulator,1
PM8950 regulators,1
PM6150,1
PM6150L,1
PM6150/PM6150L,1
Silergy,1
SYR83X,1
Silergy SYR83X,1
test_power,1
CHARGE_COUNTER,1
CURRENT,1
USB regulator,1
coulomb counter,1
coulomb,1
calibrate support,1
calibrate,1
usb_power,1
BC detection,1
tegra30,1
variable polling interval,1
dev_pm_qos,1
dev_pm_qos notifiers,1
devfreq core,1
dev_pm_qos_add_request,1
add_request,1
omap36xx,1
Aspeed VUART,1
VUART,1
SIRQ,1
32-bit uart,1
polling IO,1
NCT6116D,1
Telit ME910G1,1
0x110a,1
0x1bc7,1
0x9010,1
vdd supply,1
USB2422,1
cp201x,1
digital force gauge,1
force gauge,1
TI HD3SS3220,1
HD3SS3220,1
DRP port controller,1
PL2303HXN,1
T77W968,1
Foxconn T77W968,1
LTE modules,1
Foxconn T77W968 LTE modules,1
Moxa UPort 2210,1
UPort,1
C099-F9P,1
U-Blox C099-F9P,1
Tegra194 XHCI,1
suspend event,1
UDC driver,1
tegra XUSB,1
device mode controller,1
Comet Lake -H,1
Intel Comet Lake -H,1
Intel Comet Lake -H variant,1
background kernel threads,1
Metadata support,1
metadata support,1
SEQ_BT,1
NV21,1
NV21 format,1
deinterlace,1
H3 deinterlace,1
H3 deinterlace driver,1
NVM size,1
saa7164,1
debugging file,1
outputting,1
Tronsmart Vega S95,1
Tronsmart Vega S95/S96,1
Vega S95,1
Beelink GS1,1
0xffdc,1
iMON 0xffdc,1
PIXEL_RATE,1
PIXEL,1
RATE,1
CMOS image sensor,1
Hi-556,1
Magix Wideowandler 2,1
Magix,1
Wideowandler 2,1
Wideowandler,1
eyeTV,1
T2 lite,1
Logilink,1
VG0022A,1
Logilink VG0022A,1
ad5821,1
ad5823,1
HEVC/H.265,1
H.265,1
